Daniel Burbank
Robert D. Cabana
Yvonne Cagle
Fernando Caldeiro
Joseph M. Acaba
James Adamson
Joseph P. Allen
Clayton Anderson
Jerome Apt
Yuri Artyukhin
Toktar Aubakirov
Sergei Avdeyev
James P. Bagian
Ellen S. Baker
Aleksandr Balandin
Michael R. Barratt
Kayla Barron
Daniel Barry
John-David F. Bartoe
Charlie Bassett
Yuri Baturin
Eric A. Boe
Charles Bolden
Valentin Bondarenko
Frank Borman
Kenneth Bowersox
Vance Brand
Curtis Brown
James Buchli
Jay C. Buckey
John S. Bull
Daniel Bursch
Valery Bykovsky
Charles Camarda
Kenneth D. Cameron
Gennadi Sarafanov
Svetlana Savitskaya
Hans Schlegel
